ID|NAME|NAME_EN|STAR|CLASS|Gender|ILLUST|CV|Origin|Region|Camp|T_NAME|T_PROP|T_TYPE
1|玛修·基列莱特|Mash Kyrielite|4|Shielder|女性|武内崇|高桥李依|Fate/Grand Order|迦勒底|地|如今仍是遥远的理想之城（Lord·Camelot）|Arts|对恶宝具
1|玛修·基列莱特|Mash Kyrielite|4|Shielder|女性|武内崇|高桥李依|Fate/Grand Order|迦勒底|地|如今仍是遥远的理想之城（Lord·Camelot）|Arts|对恶宝具
2|阿尔托莉雅·潘德拉贡|Altria Pendragon|5|Saber|女性|武内崇|川澄绫子|亚瑟王传说|英格兰|地|誓约胜利之剑（Excalibur）|Buster|对城宝具
3|阿尔托莉雅·潘德拉贡〔Alter〕|Altria Pendragon|4|Saber|女性|武内崇|川澄绫子|亚瑟王传说|英格兰|人|誓约胜利之剑（Excalibur・Morgan）|Buster|对城宝具
4|阿尔托莉雅·潘德拉贡〔Lily〕|Altria Pendragon|4|Saber|女性|武内崇|川澄绫子|亚瑟王传说|英格兰|地|必胜黄金之剑（Caliburn）|Buster|对人宝具
5|尼禄·克劳狄乌斯|Nero Claudius|4|Saber|女性|ワダアルコ|丹下樱|史实|罗马|人|童女讴歌如花帝政（Los Saint Claudius）|Arts|对阵宝具
6|齐格弗里德|Siegfried|4|Saber|男性|近卫乙嗣|诹访部顺一|《尼伯龙根之歌》|德国|地|幻想大剑・天魔失坠（Balmung）|Buster|对军宝具
7|盖乌斯·尤里乌斯·凯撒|Gaius Julius Caesar|3|Saber|男性|しまどりる|置鲇龙太郎|史实|欧洲|人|黄之死（Crocea Mors）|Quick|对人宝具
8|阿提拉|Artila|5|Saber|女性|huke|能登麻美子|史实|中亚～欧洲|人|军神之剑（Photon Ray）|Buster|对军宝具
9|吉尔·德·雷|Gilles de Rais|3|Saber|男性|真じろう|鹤冈聪|史实|法国|人|圣旗之下集结的吼声（Saint Warorder）|Arts|对人宝具
10|骑士迪昂|Chevalier D'Eon|4|Saber|？|森山大辅|斋藤千和|史实|法国|人|绚烂绽放的百合花（Fleur de Lys）|Arts|对军宝具
11|卫宫|Emiya|4|Archer|男性|武内崇|诹访部顺一|Fate/stay night|日本|人|无限剑制（Unlimited Blade Works）|Buster|???
12|吉尔伽美什|Gilgamesh|5|Archer|男性|武内崇|关智一|苏美尔文明、吉尔伽美什叙事诗|巴比伦、乌鲁克|天|天地乖离开辟之星（Enuma Elish）|Buster|对界宝具
13|罗宾汉|Robin Hood|3|Archer|男性|ワダアルコ|鸟海浩辅|史实|英国|人|祈祷之弓（Yew Bow）|Arts|对人宝具
14|阿塔兰忒|Atalanta|4|Archer|女性|轮くすさが|早见沙织|希腊神话|希腊|地|诉状的箭书（Phoibos Catastrophe）|Quick|对军宝具
15|尤瑞艾莉|Euryale|3|Archer|女性|AKIRA|浅川悠|希腊神话|欧洲|天|女神的视线（Eye of the Euryale）|Arts|对人宝具
16|阿拉什|Arash|1|Archer|男性|BLACK|鹤冈聪|波斯神话|西亚|地|流星一条（Stella）|Buster|对军宝具
17|库·丘林|Cu Chulainn|3|Lancer|男性|武内崇|神奈延年|凯尔特神话、阿尔斯特神话|爱尔兰|天|刺穿死棘之枪（Gae Bolg）|Quick|对人宝具
18|伊丽莎白·巴陶里|Erzsebet Bathory|4|Lancer|女性|ワダアルコ|大久保瑠美|史实|匈牙利|人|鲜血魔娘（Báthory Erzsébet）|Buster|对人宝具
19|武藏坊弁庆|Benkei Musashibou|2|Lancer|男性|真じろう|稻田彻|《义经记》《平家物语》|日本|人|五百罗汉补陀落渡海|Arts|对军宝具
20|库·丘林〔Prototype〕|Cu Chulainn|3|Lancer|男性|中原|中井和哉|凯尔特神话|欧洲|天|贯穿之朱枪（Gae Bolg）|Quick|对人宝具
21|列奥尼达斯一世|Leonidas I|2|Lancer|男性|缟うどん|三木真一郎|史实（温泉关之战）|斯巴达|人|炎门的守护者（Θερμοπύλαι ἐνωμοτίαι/Thermopylōn Enōmotiai）|Buster|对军宝具
22|罗穆路斯|Romulus|3|Lancer|男性|こやまひろかず|置鲇龙太郎|史实、罗马神话|欧洲|星|万物皆由我枪生（Magna Voluisse Magnum）|Buster|对军宝具
23|美杜莎|Medusa|3|Rider|女性|武内崇|浅川悠|希腊神话|希腊、无形之岛|地|骑英之缰绳（Bellerophon）|Quick|对军宝具
24|圣乔治|Georgius|2|Rider|男性|中央东口|西前忠久|《黄金传说》《圣乔治传说》|欧洲|人|力绝的祝福之剑（Ascalon）|Arts|对人宝具
25|爱德华·蒂奇|Edward Teach|2|Rider|男性|Bすけ|西前忠久|史实|加勒比海|人|安妮女王的复仇（Queen Anne's Revenge）|Buster|对军宝具
26|布狄卡|Boudica|3|Rider|女性|苍月タカオ|斋藤千和|史实|欧洲|人|无以约定守护的车轮（Chariot of Boudica）|Arts|对军宝具
27|牛若丸|Ushiwakamaru|3|Rider|女性|坂本みねぢ|早见沙织|《义经记》《平家物语》|日本|人|坛之浦・八艘跳|Quick|对人奥义
28|亚历山大|Alexander|3|Rider|男性|BUNBUN|坂本真绫|史实|欧洲|人|起始的蹂躏制霸（Bucephalus）|Quick|对军宝具
29|玛丽·安托瓦内特|Marie Antoinette|4|Rider|女性|ギンカ|种田梨沙|史实|欧洲|人|存于百合王冠之中的荣光（Guillotine Breaker）|Quick|对军宝具
30|玛尔达|Marthe|4|Rider|女性|坂本みねぢ|早见沙织|史实、新约圣书|欧洲|人|不觉爱的悲哀之龙啊（Tarasque）|Buster|对军宝具
31|美狄亚|Medea|3|Caster|女性|ネコタワワ|田中敦子|希腊神话|希腊、科任托斯|地|万符必将破戒（Rule Breaker）|Arts|对魔术宝具
32|吉尔·德·雷|Gilles de Rais|3|Caster|男性|Azusa|鹤冈聪|史实|法国|人|螺湮城教本（Prelati's・spellbook）|Buster|对军宝具
33|汉斯·克里斯蒂安·安徒生|Hans Christian Andersen|2|Caster|男性|ワダアルコ|子安武人|史实|丹麦|人|为你写的故事（Marchen meines Lebens）|Arts|对人宝具
34|威廉·莎士比亚|William Shakespeare|2|Caster|男性|近卫乙嗣|稻田彻|史实|英格兰|人|开演之时已到，献上如雷的喝彩（First Folio）|Buster|对人宝具
35|梅菲斯托费勒斯|Mephistopheles|3|Caster|男性|下越|子安武人|《浮士德》（Faust）|德国|地|微酣爆弹（Ticktock Bomb）|Buster|对军宝具
36|沃尔夫冈·阿马多伊斯·莫扎特|Wolfgang Amadeus Mozart|1|Caster|男性|PFALZ|关智一|史实|欧洲|星|为死神奏响的葬送曲（Requiem for Death）|Arts|对军宝具
37|诸葛孔明〔艾尔梅洛伊二世〕|Zhuge Kongming〔El-Melloi Ⅱ〕|5|Caster|男性|武内崇|浪川大辅|《三国演义》|中国|人|石兵八阵|Arts|对军宝具
38|库·丘林|Cu Chulainn|3|Caster|男性|また|神奈延年|凯尔特神话|欧洲|天|燃烧殆尽的炎之牢（Wicker Man）|Buster|对军宝具
39|佐佐木小次郎|Koujirou Sasaki|1|Assassin|男性|また|三木真一郎|史实|日本|人|燕返|Quick|对人魔剑
40|咒腕的哈桑|Hassan of the Cursed Arm|2|Assassin|男性|タスクオーナ|稻田彻|中东、山中老人|中东|人|妄想心音（Zabaniya）|Quick|对人宝具
41|斯忒诺|Stheno|4|Assassin|女性|AKIRA|浅川悠|希腊神話|欧洲|天|女神的微笑（Smile of the Stheno）|Buster|对人宝具
42|荆轲|Jing Ke|3|Assassin|女性|高橋慶太郎|田中敦子|史实|中国|人|不还匕首|Quick|对人宝具
43|夏尔·亨利·桑松|Charles Henri Sanson|2|Assassin|男性|しまどりる|宫野真守|史实|法国|人|死是向着明日的希望（la Molé Espoir）|Buster|对人宝具
44|歌剧魅影|Phantom of the Opera|2|Assassin|男性|縞うどん|置鲇龙太郎|《歌剧魅影》|欧洲|地|吾爱之歌恰为地狱奏响（Christine Christine）|Arts|对军宝具
45|玛塔·哈里|Mata Hari|1|Assassin|女性|こやまひろかず|种田梨沙|史实|法国~德国|人|有着白昼之眼的女子（Mata Hari）|Arts|对军宝具
